2026-02-26 00:35:58,598 | INFO | pipeline | Pipeline started
2026-02-26 00:35:58,599 | INFO | pipeline | SQLite connection established and raw_landing table ready.
2026-02-26 00:36:00,564 | INFO | pipeline | DS load complete: {'raw_rows_inserted': 5, 'ingested_at': '2026-02-26T00:35:58.600017+00:00'}
2026-02-26 00:36:00,564 | INFO | pipeline | DS validation passed.
2026-02-26 00:36:00,597 | INFO | pipeline | DS2B transform complete: {'status': 'ok', 'ingested_at': '2026-02-26T00:35:58.600017+00:00', 'station_upserts': 1, 'measure_inserts': 40}
2026-02-26 00:36:00,598 | INFO | pipeline | Bronze structured validation passed.
2026-02-26 00:36:00,610 | INFO | pipeline | B2S (Silver) complete: {'status': 'ok', 'ingested_at': '2026-02-26T00:35:58.600017+00:00', 'silver_station_upserts': 1, 'silver_measure_inserts': 40}
2026-02-26 00:36:00,615 | INFO | pipeline | Silver validation passed.
2026-02-26 00:36:00,647 | INFO | pipeline | S2G (Gold) complete: {'status': 'ok', 'ingested_at': '2026-02-26T00:35:58.600017+00:00', 'dim_station_upserts': 1, 'fact_measurement_inserts': 40}
2026-02-26 00:36:00,647 | INFO | pipeline | Gold validation passed.
2026-02-26 00:36:00,648 | INFO | pipeline | SQLite connection closed.
2026-02-26 00:36:00,648 | INFO | pipeline | Pipeline finished successfully
